3pnx, 1pdk, 0.203642, 0.26232
3pnx, 1w8i, 0.349395, 0.35423
3pnx, 3ts5, 0.261068, 0.126978
3pnx, 1nzi, 0.259892, 0.265683
3pnx, 3mgd, 0.298106, 0.295505
3pnx, 1kex, 0.242336, 0.247186
3pnx, 2fg1, 0.308921, 0.312146
3pnx, 1mk4, 0.293122, 0.301664
3pnx, 2f1w, 0.264844, 0.258084
3pnx, 3u9j, 0.252232, 0.253237
3pnx, 3ejj, 0.254337, 0.252176
3pnx, 1sl4, 0.323518, 0.295241
3pnx, 1hlb, 0.255573, 0.263789
3pnx, 1x23, 0.236572, 0.239821
3pnx, 2qpv, 0.312847, 0.281792
3pnx, 3pfs, 0.322458, 0.297558
3pnx, 3pg6, 0.251344, 0.234266
3pnx, 1h89, 0.261085, 0.137778
3pnx, 2v8q, 0.260477, 0.207415
3pnx, 4k30, 0.318917, 0.323066
3pnx, 1jon, 0.249938, 0.24114
3pnx, 3mfb, 0.258079, 0.252832
3pnx, 1ei7, 0.257211, 0.266
3pnx, 3hzh, 0.416477, 0.381396
3pnx, 1bcs, 0.208983, 0.29914
3pnx, 3flj, 0.271848, 0.253353
3pnx, 2gt2, 0.269106, 0.27042
3pnx, 4h7l, 0.321542, 0.269815
3pnx, 1y82, 0.354684, 0.336863
3pnx, 2r47, 0.348747, 0.355515
3pnx, 4dyw, 0.270442, 0.24657
3pnx, 1iil, 0.254209, 0.238106
3pnx, 4jvv, 0.305375, 0.313499
3pnx, 1p2x, 0.251506, 0.26178
3pnx, 3oi8, 0.250137, 0.252364
3pnx, 2wq4, 0.264311, 0.245278
3pnx, 4jzu, 0.257642, 0.265242
3pnx, 2bkc, 0.30365, 0.30365
3pnx, 3cit, 0.292779, 0.296775
3pnx, 3s9x, 0.273916, 0.28144
3pnx, 2qea, 0.266814, 0.273763
3pnx, 2fjc, 0.295103, 0.296276
3pnx, 3ul4, 0.29954, 0.289391
3pnx, 2hsn, 0.221589, 0.231167
3pnx, 3wmd, 0.276263, 0.269153
3pnx, 2z7e, 0.261918, 0.249294
3pnx, 2ccl, 0.286504, 0.285315
3pnx, 1z3d, 0.237283, 0.238395
3pnx, 2ffs, 0.26368, 0.255623
3pnx, 3rgg, 0.394546, 0.40709
3pnx, 2hi2, 0.289603, 0.29855
3pnx, 3ed0, 0.250605, 0.252587
3pnx, 2icg, 0.261911, 0.268712
3pnx, 2b3j, 0.306456, 0.307959
3pnx, 3fou, 0.2679, 0.274787
3pnx, 3cgm, 0.245701, 0.253143
3pnx, 3zhw, 0.265097, 0.269262
3pnx, 3cgz, 0.275222, 0.266561
3pnx, 3fv6, 0.25845, 0.253244
3pnx, 1yz4, 0.29675, 0.309772
3pnx, 2q3t, 0.27825, 0.2426
3pnx, 1dbu, 0.264237, 0.264237
3pnx, 3e0h, 0.262549, 0.261347
3pnx, 3boq, 0.300224, 0.277128
3pnx, 4eje, 0.274516, 0.265539
3pnx, 3kf6, 0.306837, 0.288324
3pnx, 1su0, 0.266716, 0.250225
3pnx, 3ijt, 0.270473, 0.25918
3pnx, 3lur, 0.256414, 0.258674
3pnx, 2o7m, 0.2429, 0.24617
3pnx, 1jat, 0.258389, 0.260584
3pnx, 3bn6, 0.23903, 0.247059
3pnx, 2h09, 0.30933, 0.277418
3pnx, 1hus, 0.254172, 0.234665
3pnx, 1jl2, 0.370546, 0.370546
3pnx, 1htw, 0.334878, 0.3484
3pnx, 1or0, 0.313891, 0.316468
3pnx, 1mi8, 0.291551, 0.279693
3pnx, 3tje, 0.231811, 0.183266
3pnx, 3hyb, 0.265036, 0.219343
3pnx, 1k12, 0.257127, 0.265938
3pnx, 4j8p, 0.354293, 0.362018
3pnx, 1yb0, 0.283792, 0.292375
3pnx, 4f6a, 0.294026, 0.296549
3pnx, 2ns9, 0.282744, 0.28522
3pnx, 1yoa, 0.259076, 0.268167
